model,fold,score
LogisticRegression,1,0.9306547619047619
LogisticRegression,2,0.9315476190476191
LogisticRegression,3,0.9157738095238095
LogisticRegression,4,0.9270833333333334
LogisticRegression,5,0.9336309523809524
RandomForest,1,0.9491071428571428
RandomForest,2,0.9497023809523809
RandomForest,3,0.950297619047619
RandomForest,4,0.9535714285714286
RandomForest,5,0.9595238095238096
XGBoost,1,0.9648809523809524
XGBoost,2,0.9645833333333333
XGBoost,3,0.9636904761904762
XGBoost,4,0.9702380952380952
XGBoost,5,0.9717261904761905
